,,,,,,,
,,,,,,,
,Time,status,note,stop time,run time,total stop time,total run time
,2025/11/10 12:26:00,start,DAY1 START,0:00:00,0:04:33,,
,2025/11/10 12:30:33,stop,MPS,0:03:52,0:00:00,,
,2025/11/10 12:34:25,start,,0:00:00,2:19:05,,
,2025/11/10 14:53:30,stop,RCS MPS,0:04:43,0:00:00,,
,2025/11/10 14:58:13,start,,0:00:00,2:06:47,,
,2025/11/10 17:05:00,stop,,0:05:34,0:00:00,,
,2025/11/10 17:10:34,start,,0:00:00,1:04:18,,
,2025/11/10 18:14:52,stop,MPS,0:11:02,0:00:00,,
,2025/11/10 18:25:54,start,,0:00:00,0:45:06,,
,2025/11/10 19:11:00,stop,LINIAC MPS,0:02:06,0:00:00,,
,2025/11/10 19:13:06,start,,0:00:00,0:48:58,,
,2025/11/10 20:02:04,stop,,0:01:30,0:00:00,,
,2025/11/10 20:03:34,start,,0:00:00,0:02:17,,
,2025/11/10 20:05:51,end,DAY1 END switch to K1.8,0,0,0:28:47,7:11:04
,2025/11/11 19:47:56,start,Day2 Start,0:00:00,0:44:35,,
,2025/11/11 20:32:31,stop,HD:BLM（B-Line）MPS発報(MR Inhibit),0:24:02,0:00:00,,
,2025/11/11 20:56:33,start,,0:00:00,0:34:55,,
,2025/11/11 21:31:28,stop,HD:利用運転一時停止（HD電磁石設定変更の為）,0:21:33,0:00:00,,
,2025/11/11 21:53:01,start,,0:00:00,1:38:36,,
,2025/11/11 23:31:37,stop,LI:BLM MPS発報 ,0:01:02,0:00:00,,
,2025/11/11 23:32:39,start,,0:00:00,1:59:22,,
,2025/11/12 01:32:01,stop,LI:BLM MPS発報,0:00:08,0:00:00,,
,2025/11/12 01:32:09,start,,0:00:00,2:36:42,,
,2025/11/12 04:08:51,stop,HD:利用運転一時停止（二次ビームライン設定変更の為）,0:04:01,0:00:00,,
,2025/11/12 04:12:52,start,,0:00:00,1:17:14,,
,2025/11/12 05:30:06,end,DAY2 END usertime finish,0,0,0:50:46,8:51:24
,2025/11/13 05:32:37,start,HD:利用運転開始(87kW),0:00:00,0:44:34,,
,2025/11/13 06:17:11,stop,LI:BLM MPS発報,0:01:01,0:00:00,,
,2025/11/13 06:18:12,start,,0:00:00,4:28:09,,
,2025/11/13 10:46:21,stop,LI:BLM MPS発報,0:01:05,0:00:00,,
,2025/11/13 10:47:26,start,,0:00:00,4:02:42,,
,2025/11/13 14:50:08,stop,RCS:RFPS07 MPS発報,0:04:46,0:00:00,,
,2025/11/13 14:54:54,start,,0:00:00,2:56:22,,
,2025/11/13 17:51:16,stop,HD:BLM MPS発報(MR Inhibit),0:12:36,0:00:00,,
,2025/11/13 18:03:52,start,,0:00:00,0:41:08,,
,2025/11/13 18:45:00,stop,HD:利用運転停止（HD電磁石設定修正の為）,0:01:54,0:00:00,,
,2025/11/13 18:46:54,start,,0:00:00,0:20:35,,
,2025/11/13 19:07:29,stop,HD:利用運転停止（HD:モード変更の為）,0:19:25,0:00:00,,
,2025/11/13 19:26:54,start,,0:00:00,0:28:25,,
,2025/11/13 19:55:19,stop,HD:利用運転停止（HD:モード変更の為）A -> A+B,0:04:22,0:00:00,,
,2025/11/13 19:59:41,start,,0:00:00,1:55:07,,
,2025/11/13 21:54:48,stop,LI:BLM MPS発報 ,0:01:12,0:00:00,,
,2025/11/13 21:56:00,start,,0:00:00,0:08:21,,
,2025/11/13 22:04:21,stop,RCS:RFPS09 MPS発報 ,0:05:13,0:00:00,,
,2025/11/13 22:09:34,start,,0:00:00,1:58:14,,
,2025/11/14 00:07:48,stop,HD:利用運転停止（HD:モード変更の為）A + B -> A,0:08:03,0:00:00,,
,2025/11/14 00:15:51,start,,0:00:00,0:33:27,,
,2025/11/14 00:49:18,stop,HD:利用運転停止（HD:モード変更の為）A -> A+B,0:05:12,0:00:00,,
,2025/11/14 00:54:30,start,,0:00:00,5:06:22,,
,2025/11/14 06:00:52,stop,MR:FXキッカーMPS発報(MR Inhibit),3:13:16,0:00:00,,
,2025/11/14 09:14:08,start,,0:00:00,0:46:51,,
,2025/11/14 10:00:59,stop,HDビームモード変更の為（HDシフト）　,0:13:34,0:00:00,,
,2025/11/14 10:14:33,start,,0:00:00,1:20:06,,
,2025/11/14 11:34:39,stop,HD:MPS発報(MR Inhibit),0:24:16,0:00:00,,
,2025/11/14 11:58:55,start,,0:00:00,0:16:24,,
,2025/11/14 12:15:19,stop,HD:利用運転停止（HD:モード変更の為）,0:10:32,0:00:00,,
,2025/11/14 12:25:51,start,,0:00:00,0:44:31,,
,2025/11/14 13:10:22,stop,MR:SXセプタム31-32 MPS発報(MR Inhibit),0:31:39,0:00:00,,
,2025/11/14 13:42:01,end,switch K1.8BR --> K1.8,0,0,5:38:06,26:31:17
,2025/11/14 17:13:23,start,,0:00:00,1:48:42,,
